Component Pins:
Owner   Type  Dir         Value  Name
     7  bit   OUT         FALSE  hm2_7c80.0.gpio.035.in
     7  bit   OUT          TRUE  hm2_7c80.0.gpio.035.in_not
     7  bit   OUT         FALSE  hm2_7c80.0.gpio.036.in
     7  bit   OUT          TRUE  hm2_7c80.0.gpio.036.in_not
     7  bit   OUT          TRUE  hm2_7c80.0.gpio.037.in
     7  bit   OUT         FALSE  hm2_7c80.0.gpio.037.in_not
     7  bit   IN          FALSE  hm2_7c80.0.gpio.037.out
     7  bit   OUT          TRUE  hm2_7c80.0.gpio.038.in
     7  bit   OUT         FALSE  hm2_7c80.0.gpio.038.in_not
     7  bit   IN          FALSE  hm2_7c80.0.gpio.038.out
     7  bit   OUT          TRUE  hm2_7c80.0.gpio.039.in
     7  bit   OUT         FALSE  hm2_7c80.0.gpio.039.in_not
     7  bit   IN          FALSE  hm2_7c80.0.gpio.039.out
     7  bit   OUT          TRUE  hm2_7c80.0.gpio.040.in
     7  bit   OUT         FALSE  hm2_7c80.0.gpio.040.in_not
     7  bit   IN          FALSE  hm2_7c80.0.gpio.040.out
     7  bit   OUT          TRUE  hm2_7c80.0.gpio.041.in
     7  bit   OUT         FALSE  hm2_7c80.0.gpio.041.in_not
     7  bit   IN          FALSE  hm2_7c80.0.gpio.041.out
     7  bit   OUT          TRUE  hm2_7c80.0.gpio.042.in
     7  bit   OUT         FALSE  hm2_7c80.0.gpio.042.in_not
     7  bit   IN          FALSE  hm2_7c80.0.gpio.042.out
     7  bit   OUT          TRUE  hm2_7c80.0.gpio.043.in
     7  bit   OUT         FALSE  hm2_7c80.0.gpio.043.in_not
     7  bit   IN          FALSE  hm2_7c80.0.gpio.043.out
     7  bit   OUT          TRUE  hm2_7c80.0.gpio.044.in
     7  bit   OUT         FALSE  hm2_7c80.0.gpio.044.in_not
     7  bit   IN          FALSE  hm2_7c80.0.gpio.044.out
     7  bit   OUT          TRUE  hm2_7c80.0.gpio.045.in
     7  bit   OUT         FALSE  hm2_7c80.0.gpio.045.in_not
     7  bit   IN          FALSE  hm2_7c80.0.gpio.045.out
     7  bit   OUT          TRUE  hm2_7c80.0.gpio.046.in
     7  bit   OUT         FALSE  hm2_7c80.0.gpio.046.in_not
     7  bit   IN          FALSE  hm2_7c80.0.gpio.046.out
     7  bit   OUT          TRUE  hm2_7c80.0.gpio.047.in
     7  bit   OUT         FALSE  hm2_7c80.0.gpio.047.in_not
     7  bit   IN          FALSE  hm2_7c80.0.gpio.047.out
     7  bit   OUT          TRUE  hm2_7c80.0.gpio.048.in
     7  bit   OUT         FALSE  hm2_7c80.0.gpio.048.in_not
     7  bit   IN          FALSE  hm2_7c80.0.gpio.048.out
     7  bit   OUT          TRUE  hm2_7c80.0.gpio.049.in
     7  bit   OUT         FALSE  hm2_7c80.0.gpio.049.in_not
     7  bit   IN          FALSE  hm2_7c80.0.gpio.049.out
     7  bit   OUT          TRUE  hm2_7c80.0.gpio.050.in
     7  bit   OUT         FALSE  hm2_7c80.0.gpio.050.in_not
     7  bit   IN          FALSE  hm2_7c80.0.gpio.050.out
     7  bit   OUT          TRUE  hm2_7c80.0.gpio.051.in
     7  bit   OUT         FALSE  hm2_7c80.0.gpio.051.in_not
     7  bit   IN          FALSE  hm2_7c80.0.gpio.051.out
     7  bit   OUT          TRUE  hm2_7c80.0.gpio.052.in
     7  bit   OUT         FALSE  hm2_7c80.0.gpio.052.in_not
     7  bit   IN          FALSE  hm2_7c80.0.gpio.052.out
     7  bit   OUT          TRUE  hm2_7c80.0.gpio.053.in
     7  bit   OUT         FALSE  hm2_7c80.0.gpio.053.in_not
     7  bit   IN          FALSE  hm2_7c80.0.gpio.053.out
     7  s32   OUT             0  hm2_7c80.0.inmux.00.enc0-count
     7  s32   OUT             0  hm2_7c80.0.inmux.00.enc1-count
     7  s32   OUT             0  hm2_7c80.0.inmux.00.enc2-count
     7  s32   OUT             0  hm2_7c80.0.inmux.00.enc3-count
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.input-00
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.input-00-not
     7  bit   IN          FALSE  hm2_7c80.0.inmux.00.input-00-slow
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.input-01
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.input-01-not
     7  bit   IN          FALSE  hm2_7c80.0.inmux.00.input-01-slow
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.input-02
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.input-02-not
     7  bit   IN          FALSE  hm2_7c80.0.inmux.00.input-02-slow
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.input-03
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.input-03-not
     7  bit   IN          FALSE  hm2_7c80.0.inmux.00.input-03-slow
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.input-04
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.input-04-not
     7  bit   IN          FALSE  hm2_7c80.0.inmux.00.input-04-slow
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.input-05
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.input-05-not
     7  bit   IN          FALSE  hm2_7c80.0.inmux.00.input-05-slow
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.input-06
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.input-06-not
     7  bit   IN          FALSE  hm2_7c80.0.inmux.00.input-06-slow
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.input-07
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.input-07-not
     7  bit   IN          FALSE  hm2_7c80.0.inmux.00.input-07-slow
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.input-08
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.input-08-not
     7  bit   IN          FALSE  hm2_7c80.0.inmux.00.input-08-slow
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.input-09
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.input-09-not
     7  bit   IN          FALSE  hm2_7c80.0.inmux.00.input-09-slow
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.input-10
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.input-10-not
     7  bit   IN          FALSE  hm2_7c80.0.inmux.00.input-10-slow
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.input-11
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.input-11-not
     7  bit   IN          FALSE  hm2_7c80.0.inmux.00.input-11-slow
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.input-12
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.input-12-not
     7  bit   IN          FALSE  hm2_7c80.0.inmux.00.input-12-slow
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.input-13
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.input-13-not
     7  bit   IN          FALSE  hm2_7c80.0.inmux.00.input-13-slow
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.input-14
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.input-14-not
     7  bit   IN          FALSE  hm2_7c80.0.inmux.00.input-14-slow
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.input-15
     7  bit   OUT         FALSE  hm2_7c80.0.inmux.00.input-15-not
     7  bit   IN          FALSE  hm2_7c80.0.inmux.00.input-15-slow
